Time;CLK12;CKE;CKQ;ADDR;DATA;RWb;IOCS;DTAC;AS
-0,00049809;1;0;1;h81AF;hFF;1;1;1;1
-0,00049808;1;0;1;h81AF;hFF;1;1;1;1
-0,00049807;1;0;1;h81AF;hFF;1;1;1;1
-0,00049806;1;0;1;h81AF;hFF;1;1;1;1
-0,00049805;0;0;1;h81AF;hFF;1;1;1;1
-0,00049804;0;0;1;h81AF;hFF;1;1;1;1
-0,00049803;0;0;1;h81AF;hFF;1;1;1;1
-0,00049802;0;0;1;h1E88;hFF;1;1;1;1
-0,00049801;1;1;1;h1EC8;hFF;1;1;1;1
-0,000498;1;1;1;h1EC8;hFF;1;1;1;1
-0,00049799;1;1;1;h1EC8;hFF;1;1;1;1
-0,00049798;1;1;1;h1EC8;hFF;1;1;1;1
-0,00049797;0;1;1;h1EC8;hFF;1;1;1;1
-0,00049796;0;1;1;h1EC8;hFF;1;1;1;1
-0,00049795;0;1;1;h1EC8;hFF;1;1;1;1
-0,00049794;0;1;1;h1EC8;hFF;1;1;1;1
-0,0004979300000000001;1;1;0;h1EC8;hFF;1;1;1;1
-0,00049792;1;1;0;h1EC8;hFF;1;1;1;1
-0,00049791;1;1;0;h1EC8;hFF;1;1;1;1
-0,0004979;1;1;0;h1EC8;hFF;1;1;1;1
-0,00049789;0;1;0;h1EC8;hFF;1;1;1;1
-0,00049788;0;1;0;h1EC8;hFF;1;1;1;1
-0,00049787;0;1;0;h1EC8;hFF;1;1;1;1
-0,00049786;0;1;0;h1EC8;hFF;1;1;1;1
-0,00049785;1;0;0;h1EC8;hFF;1;1;1;1
-0,00049784;1;0;0;h1EC8;hFF;1;1;1;1
-0,00049783;1;0;0;h1EC8;hFF;1;1;1;1
-0,0004978199999999999;1;0;0;h1EC8;hFF;1;1;1;1
-0,00049781;0;0;0;h1EC8;hFF;1;1;1;0
-0,0004978;0;0;0;h1EC8;hFF;1;1;1;0
-0,00049779;0;0;0;h1EC8;hFF;1;1;1;0
-0,00049778;0;0;0;h1EC8;hFF;1;1;1;0
-0,00049777;1;0;1;h1EC8;hFF;1;1;1;0
