Time;CLK12;CKE;CKQ;RESETb;ADDR;DATA;AS;DTAC;RWb;COUNT
-0,00049807;0;0;0;1;h81AF;h75;0;0;1;1
-0,00049806;0;0;0;1;h81AF;h75;0;0;1;1
-0,00049805;0;0;0;1;h81AF;h75;0;0;1;1
-0,00049804;0;0;0;1;h81AF;h75;0;0;1;1
-0,00049803;1;0;1;1;h81AF;h75;0;0;1;1
-0,00049802;1;0;1;1;h81AF;h75;0;0;1;1
-0,00049801;1;0;1;1;h81AF;h75;0;0;1;1
-0,000498;1;0;1;1;h81AF;h75;0;0;1;1
-0,00049799;0;0;1;1;h81AF;h75;0;0;1;1
-0,00049798;0;0;1;1;h81AF;h75;0;0;1;1
-0,00049797;0;0;1;1;h81AF;h75;0;0;1;1
-0,00049796;0;0;1;1;h81AF;h75;0;0;1;1
-0,00049795;1;1;1;1;h81AF;h75;0;0;1;1
-0,00049794;1;1;1;1;h81AF;h75;0;0;1;1
-0,0004979300000000001;1;1;1;1;h81AF;h75;0;0;1;1
-0,00049792;1;1;1;1;h81AF;h75;0;0;1;1
-0,00049791;0;1;1;1;h81AF;h75;1;0;1;1
-0,0004979;0;1;1;1;h81AF;h75;1;1;1;1
-0,00049789;0;1;1;1;h81AF;h75;1;1;1;1
-0,00049788;0;1;1;1;h81A0;hFF;1;1;1;1
-0,00049787;0;1;0;1;h81B0;hFF;1;1;1;1
-0,00049786;1;1;0;1;h81B0;hFF;1;1;1;1
-0,00049785;1;1;0;1;h81B0;hFF;1;1;1;1
-0,00049784;1;1;0;1;h81B0;hFF;1;1;1;1
-0,00049783;1;1;0;1;h81B0;hFF;1;1;1;1
-0,0004978199999999999;0;1;0;1;h81B0;hFF;0;1;1;1
-0,00049781;0;1;0;1;h81B0;hFF;0;1;1;1
-0,0004978;0;1;0;1;h81B0;hFF;0;1;1;1
-0,00049779;0;1;0;1;h81B0;hF8;0;1;1;1
-0,00049778;1;0;0;1;h81B0;hF8;0;1;1;1
-0,00049777;1;0;0;1;h81B0;hF8;0;1;1;1
-0,00049776;1;0;0;1;h81B0;hF8;0;1;1;1
-0,00049775;1;0;0;1;h81B0;hF8;0;1;1;1
-0,00049774;0;0;0;1;h81B0;hF8;0;1;1;1
-0,00049773;0;0;0;1;h81B0;hF8;0;1;1;1
-0,00049772;0;0;0;1;h81B0;hF8;0;1;1;1
-0,0004977099999999999;0;0;0;1;h81B0;hF8;0;1;1;1
-0,0004977;1;0;1;1;h81B0;hF8;0;1;1;1
-0,00049769;1;0;1;1;h81B0;hF8;0;0;1;1
-0,00049768;1;0;1;1;h81B0;hF8;0;0;1;1
-0,00049767;1;0;1;1;h81B0;hF8;0;0;1;1
